type,timestamp,latitude,longitude,peakcurrent,icheight,numbersensors,icmultiplicity,cgmultiplicity,starttime,endtime,duration,ullatitude,ullongitude,lrlatitude,lrlongitude
 1, 2024-05-18T23:59:46.020196438,  26.543713,  88.013611,   5907, 3785,   7,   3,   0, 2024-05-18T23:59:46.020196438, 2024-05-18T23:59:46.466683865, 0.446487,  26.536683,  26.548075,  87.993874,  88.017937  
 0, 2024-05-18T23:59:48.425529957,  26.725709,  88.043728,  -7255,    0,   7,   0,   1, 2024-05-18T23:59:48.425529957, 2024-05-18T23:59:48.425529957, 0.000000,  26.725709,  26.725709,  88.043728,  88.043728  
 0, 2024-05-18T23:59:49.555409431,  26.650430,  88.076885, -21009,    0,  11,   1,   1, 2024-05-18T23:59:49.455501795, 2024-05-18T23:59:49.555409431, 0.099908,  26.650430,  26.685673,  88.018929,  88.076885  
 0, 2024-05-18T23:59:51.631084204,  26.623120,  88.080718, -22688,    0,  12,   1,   9, 2024-05-18T23:59:51.631084204, 2024-05-18T23:59:52.401532888, 0.770449,  26.544600,  26.629116,  88.051429,  88.081592  
 0, 2024-05-18T23:59:51.809715986,  26.654232,  87.983968,  -2672,    0,   6,   1,   1, 2024-05-18T23:59:51.809715986, 2024-05-18T23:59:52.094818592, 0.285103,  26.654232,  26.676188,  87.948144,  87.983968  
 1, 2024-05-18T23:59:54.794264793,  26.499683,  87.991855,  -1814, 3234,   6,   2,   0, 2024-05-18T23:59:54.794264793, 2024-05-18T23:59:54.831849337, 0.037585,  26.499683,  26.580203,  87.982201,  87.991855  
 1, 2024-05-18T23:59:56.299790859,  26.356599,  87.973261,   5528, 3264,   6,   5,   0, 2024-05-18T23:59:56.299790859, 2024-05-18T23:59:56.328044653, 0.028254,  26.356599,  26.367746,  87.963059,  87.973261  
 1, 2024-05-18T23:59:56.833603144,  28.625809,  80.631563,  -4657, 10767,   7,   1,   0, 2024-05-18T23:59:56.833603144, 2024-05-18T23:59:56.833603144, 0.000000,  28.625809,  28.625809,  80.631563,  80.631563  
 1, 2024-05-18T23:59:57.263189077,  26.835284,  88.039930,   4768, 4821,   5,   1,   0, 2024-05-18T23:59:57.263189077, 2024-05-18T23:59:57.263189077, 0.000000,  26.835284,  26.835284,  88.039930,  88.039930  
 1, 2024-05-18T23:59:58.456438303,  26.418927,  88.010594,   1757, 5262,   5,   1,   0, 2024-05-18T23:59:58.456438303, 2024-05-18T23:59:58.456438303, 0.000000,  26.418927,  26.418927,  88.010594,  88.010594  
 1, 2024-05-18T23:59:59.898203611,  26.426060,  87.935837,  -3256, 13277,   6,   2,   0, 2024-05-18T23:59:59.508715868, 2024-05-18T23:59:59.898203611, 0.389488,  26.426060,  26.468878,  87.935837,  87.949608  
 1, 2024-05-18T23:59:59.909802914,  26.785872,  87.918486,  -2597, 3227,   5,   1,   0, 2024-05-18T23:59:59.909802914, 2024-05-18T23:59:59.909802914, 0.000000,  26.785872,  26.785872,  87.918486,  87.918486  
 1, 2024-05-18T23:59:59.753490448,  26.621640,  87.958550,   8080, 3003,   7,   7,   0, 2024-05-18T23:59:59.234788418, 2024-05-19T00:00:00.234110832, 0.999322,  26.531662,  26.621640,  87.958550,  88.057247  
 1, 2024-05-19T00:00:02.021757126,  26.545138,  88.110869,   6739, 4076,   8,   2,   0, 2024-05-19T00:00:02.021757126, 2024-05-19T00:00:02.039390564, 0.017633,  26.545138,  26.557339,  88.110869,  88.113811  
 1, 2024-05-19T00:00:03.612426519,  26.531105,  88.067835,   3073, 4026,   6,   2,   0, 2024-05-19T00:00:03.578987598, 2024-05-19T00:00:03.612426519, 0.033439,  26.521655,  26.531105,  88.064330,  88.067835  
 1, 2024-05-19T00:00:05.628789425,  26.424394,  88.050003,  -2338, 5704,   7,   1,   0, 2024-05-19T00:00:05.628789425, 2024-05-19T00:00:05.628789425, 0.000000,  26.424394,  26.424394,  88.050003,  88.050003  
 1, 2024-05-19T00:00:06.825928450,  26.743035,  88.053346,   7341, 3316,   5,   1,   0, 2024-05-19T00:00:06.825928450, 2024-05-19T00:00:06.825928450, 0.000000,  26.743035,  26.743035,  88.053346,  88.053346  
 1, 2024-05-19T00:00:09.983380318,  26.577227,  88.110390,   6647, 3018,   7,  12,   0, 2024-05-19T00:00:09.780308008, 2024-05-19T00:00:10.364062548, 0.583755,  26.529650,  26.631693,  87.996042,  88.135115  
 1, 2024-05-19T00:00:10.886584520,  26.521043,  87.817677,  -2078, 13906,   6,   1,   0, 2024-05-19T00:00:10.886584520, 2024-05-19T00:00:10.886584520, 0.000000,  26.521043,  26.521043,  87.817677,  87.817677  
 0, 2024-05-19T00:00:14.522206306,  26.525565,  88.031097,  -4757,    0,   6,   1,   1, 2024-05-19T00:00:14.293033123, 2024-05-19T00:00:14.522206306, 0.229173,  26.525565,  26.543103,  88.031097,  88.054515  
 1, 2024-05-19T00:00:14.729643583,  26.587252,  87.865281,   5242, 3527,   6,   7,   0, 2024-05-19T00:00:14.423870325, 2024-05-19T00:00:15.059817791, 0.635947,  26.519182,  26.587463,  87.828767,  87.905312  
