" """"",Channel A Last (mV),Channel A Ave. (mV),Channel A Min. (mV),Channel A Max. (mV)
00:00:00,43.118,43.118,43.118,43.118
00:00:01,33.452,33.452,33.452,33.452
00:00:02,47.981,47.981,47.981,47.981
00:00:03,39.836,39.836,39.836,39.836
00:00:04,40.664,40.664,40.664,40.664
00:00:05,36.251,36.251,36.251,36.251
00:00:06,31.543,31.543,31.543,31.543
00:00:07,32.829,32.829,32.829,32.829
00:00:08,22.322,22.322,22.322,22.322
00:00:09,40.287,40.287,40.287,40.287
00:00:10,30.834,30.834,30.834,30.834
00:00:11,38.845,38.845,38.845,38.845
00:00:12,39.143,39.143,39.143,39.143
00:00:13,33.311,33.311,33.311,33.311
00:00:14,41.793,41.793,41.793,41.793
00:00:15,25.834,25.834,25.834,25.834
00:00:16,43.084,43.084,43.084,43.084
00:00:17,36.185,36.185,36.185,36.185
00:00:18,37.717,37.717,37.717,37.717
00:00:19,39.954,39.954,39.954,39.954
00:00:20,36.093,36.093,36.093,36.093
00:00:21,48.242,48.242,48.242,48.242
00:00:22,27.961,27.961,27.961,27.961
00:00:23,35.921,35.921,35.921,35.921
00:00:24,43.514,43.514,43.514,43.514
00:00:25,27.29,27.29,27.29,27.29
00:00:26,45.772,45.772,45.772,45.772
00:00:27,33.998,33.998,33.998,33.998
00:00:28,42.923,42.923,42.923,42.923
00:00:29,33.334,33.334,33.334,33.334
00:00:30,35.34,35.34,35.34,35.34
00:00:31,42.299,42.299,42.299,42.299
00:00:32,25.413,25.413,25.413,25.413
00:00:33,41.793,41.793,41.793,41.793
00:00:34,33.334,33.334,33.334,33.334
00:00:35,40.013,40.013,40.013,40.013
00:00:36,36.302,36.302,36.302,36.302
00:00:37,35.372,35.372,35.372,35.372
00:00:38,41.793,41.793,41.793,41.793
00:00:39,40.418,40.418,40.418,40.418
00:00:40,46.118,46.118,46.118,46.118
00:00:41,32.896,32.896,32.896,32.896
00:00:42,49.211,49.211,49.211,49.211
00:00:43,39.954,39.954,39.954,39.954
00:00:44,39.614,39.614,39.614,39.614
00:00:45,41.87,41.87,41.87,41.87
00:00:46,35.198,35.198,35.198,35.198
00:00:47,59.987,59.987,59.987,59.987
00:00:48,36.789,36.789,36.789,36.789
00:00:49,43.135,43.135,43.135,43.135
00:00:50,36.302,36.302,36.302,36.302
00:00:51,51.169,51.169,51.169,51.169
00:00:52,38.405,38.405,38.405,38.405
00:00:53,33.751,33.751,33.751,33.751
00:00:54,39.429,39.429,39.429,39.429
00:00:55,29.041,29.041,29.041,29.041
00:00:56,50.139,50.139,50.139,50.139
00:00:57,21.838,21.838,21.838,21.838
00:00:58,47.501,47.501,47.501,47.501
00:00:59,25.702,25.702,25.702,25.702
00:01:00,35.039,35.039,35.039,35.039
00:01:01,42.24,42.24,42.24,42.24
00:01:02,34.263,34.263,34.263,34.263
00:01:03,43.335,43.335,43.335,43.335
00:01:04,36.409,36.409,36.409,36.409
00:01:05,43.093,43.093,43.093,43.093
00:01:06,34.484,34.484,34.484,34.484
00:01:07,44.305,44.305,44.305,44.305
00:01:08,43.135,43.135,43.135,43.135
00:01:09,40.657,40.657,40.657,40.657
00:01:10,38.817,38.817,38.817,38.817
00:01:11,30.173,30.173,30.173,30.173
00:01:12,41.536,41.536,41.536,41.536
00:01:13,33.012,33.012,33.012,33.012
00:01:14,34.845,34.845,34.845,34.845
00:01:15,36.899,36.899,36.899,36.899
00:01:16,40.001,40.001,40.001,40.001
